month,total_pageview,pageview multiplier,total_pageview_corrected,previews_seen,interactions,interactions_corrected
2016-07-01,14479097793,1,14479097793,,,
2016-08-01,15164063733,1,15164063733,,,
2016-09-01,15227361307,1,15227361307,,,
2016-10-01,16205992870,1,16205992870,,,
2016-11-01,16499874726,1,16499874726,,,
2016-12-01,15964600507,1,15964600507,,,
2017-01-01,17412432609,1,17412432609,,,
2017-02-01,15625623428,1,15625623428,,,
2017-03-01,16685569527,1,16685569527,,,
2017-04-01,15453707813,1,15453707813,,,
2017-05-01,16016328494,1,16016328494,,,
2017-06-01,14495769150,1,14495769150,,,
2017-07-01,14481092187,1,14481092187,,,
2017-08-01,14592094078,1,14592094078,,,
2017-09-01,14647090400,1,14647090400,,,
2017-10-01,15701179307,1,15701179307,,,
2017-11-01,15499338115,1,15499338115,,,
2017-12-01,14505539686,1,14505539686,,,
2018-01-01,16695321451,1,16695321451,,,
2018-02-01,14891985404,1,14891985404,,,
2018-03-01,16234990784,1,16234990784,,,
2018-04-01,15449161110,1,15449161110,1287111552,16736272662,16736272662
2018-05-01,16081901671,1,16081901671,1965116275,18047017946,18047017946
2018-06-01,14975979232,1,14975979232,1775462118,16751441350,16751441350
2018-07-01,15353644859,1,15353644859,1665358928,17019003787,17019003787
2018-08-01,15215835256,1,15215835256,1652012223,16867847479,16867847479
2018-09-01,15075349474,1,15075349474,1638292265,16713641739,16713641739
2018-10-01,15944972871,1,15944972871,1810538794,17755511665,17755511665
2018-11-01,15838868761,1,15838868761,1818341997,17657210758,17657210758
2018-12-01,15421572637,1,15421572637,1681405560,17102978197,17102978197
2019-01-01,16854424374,1,16854424374,1959035892,18813460266,18813460266
2019-02-01,14994451563,1,14994451563,1738551430,16733002993,16733002993
2019-03-01,16323127594,1,16323127594,1867233307,18190360901,18190360901
2019-04-01,15661204060,1,15661204060,1759067428,17420271488,17420271488
2019-05-01,16328875602,1,16328875602,1850432228,18179307830,18179307830
2019-06-01,14840496959,1,14840496959,1609282924,16449779883,16449779883
2019-07-01,15377558086,1,15377558086,1643555455,17021113541,17021113541
2019-08-01,15426740264,1,15426740264,1636496145,17063236409,17063236409
2019-09-01,15544817067,1,15544817067,1773316406,17318133473,17318133473
2019-10-01,16722401874,1,16722401874,1936366629,18658768503,18658768503
2019-11-01,16230971006,1,16230971006,1909126799,18140097805,18140097805
2019-12-01,15649147190,1,15649147190,1807162586,17456309776,17456309776
2020-01-01,17102491711,1,17102491711,2097219744,19199711455,19199711455
2020-02-01,15738655374,1,15738655374,1931594541,17670249915,17670249915
2020-03-01,17319626842,1,17319626842,2098583549,19418210391,19418210391
2020-04-01,19825763318,1,19825763318,2419940921,22245704239,22245704239
2020-05-01,19295670656,1,19295670656,2399548068,21695218724,21695218724
2020-06-01,16208212498,1,16208212498,2030557993,18238770491,18238770491
2020-07-01,16180140615,1,16180140615,1919424026,18099564641,18099564641
2020-08-01,16134565805,1,16134565805,1886714439,18021280244,18021280244
2020-09-01,16025693951,1,16025693951,1933979438,17959673389,17959673389
2020-10-01,17478225466,1,17478225466,2106642337,19584867803,19584867803
2020-11-01,17933471198,1,17933471198,2211951858,20145423056,20145423056
2020-12-01,17146057747,1,17146057747,2040995279,19187053026,19187053026
2021-01-01,18399930310,1,18399930310,2258911827,20658842137,20658842137
2021-02-01,16990619800,1,16990619800,2057132723,19047752523,19047752523
2021-03-01,18588370602,1,18588370602,2238339934,20826710536,20826710536
2021-04-01,17594157293,1,17594157293,2129806204,19723963497,19723963497
2021-05-01,17783793360,1,17783793360,2054246112,19838039472,19838039472
2021-06-01,16077141392,1.031,16575532775,1773353101,17850494493,18348885876
2021-07-01,16369990029,1.031,16877459720,1721154978,18091145007,18598614698
2021-08-01,16747766210,1.031,17266946963,1451793555,18199559765,18718740518
2021-09-01,16011237757,1.031,16507586127,1812546943,17823784700,18320133070
2021-10-01,16487168211,1.031,16998270426,1872863674,18360031885,18871134100
2021-11-01,15888030722,1.0613,16861967005,1880481379,17768512101,18742448384
2021-12-01,15826651147,1.0613,16796824862,1802475579,17629126726,18599300441
2022-01-01,17342467761,1.0613,18405561035,2058829668,19401297429,20464390703
2022-02-01,16040523442,1,16040523442,1833566161,17874089603,17874089603
2022-03-01,16982961468,1,16982961468,1967056255,18950017723,18950017723
2022-04-01,16156933912,1,16156933912,1773846791,17930780703,17930780703
2022-05-01,16386936815,1,16386936815,1788004827,18174941642,18174941642
2022-06-01,15478818742,1,15478818742,1626137883,17104956625,17104956625
2022-07-01,16282272817,1,16282272817,1575665883,17857938700,17857938700
2022-08-01,"17,264,505,944",1,17264505944,"1,634,855,679","18,899,361,623","18,899,361,623"
2022-09-01,"18,162,600,756",1,18162600756,"1,706,285,414","19,868,886,170","19,868,886,170"
2022-10-01,"18,756,178,415",1,18756178415,"1,740,051,303","20,496,229,718","20,496,229,718"
2022-11-01,"19,310,984,429.00",1,19310984429,"1,725,950,964","21,036,935,393.00","21,036,935,393"