month	active_editors	anonymous_edits	mobile-heavy_wiki_active_editors	mobile-heavy_wiki_edits	mobile-heavy_wiki_new_editor_retention	mobile-heavy_wiki_nonbot_edits	mobile_edits	net_new_Commons_content_pages	net_new_Wikidata_entities	net_new_Wikipedia_articles	net_new_content_pages	new_active_editors	new_editor_retention	non_anonymous_edits	other_nonbot_edits	returning_active_editors	revert_rate	total_edits	uploads	wikidata_edits
2001-01-01	6.0						0.0	0.0	0.0	31.0	10696.0	6.0			225.0	0.0	0.0147601476	13783.0	0.0	0.0
2001-02-01	9.0						0.0	0.0	0.0	133.0	434.0	4.0			600.0	5.0	0.00136239782	2178.0	0.0	0.0
2001-03-01	19.0						0.0	0.0	0.0	437.0	1309.0	12.0	0.5		1018.0	7.0	0.0008183306056	4078.0	0.0	0.0
2001-04-01	18.0						0.0	0.0	0.0	562.0	1604.0	5.0	0.6		759.0	13.0	0.003322259136	2735.0	0.0	0.0
2001-05-01	21.0						0.0	0.0	0.0	1243.0	3796.0	6.0	0.5384615385		1698.0	15.0	0.001532175689	5955.0	0.0	0.0
2001-06-01	24.0						0.0	0.0	0.0	582.0	1359.0	2.0	0.2727272727		1060.0	22.0	0.003167062549	3710.0	0.0	0.0
2001-07-01	43.0						0.0	0.0	0.0	1099.0	2460.0	21.0	0.6153846154		1792.0	22.0	0.0113133300499999	6078.0	0.0	0.0
2001-08-01	53.0		0.0	1.0		1.0	0.0	0.0	0.0	1651.0	4129.0	15.0	0.0		2627.0	38.0	0.002989040186	9777.0	0.0	0.0
2001-09-01	87.0						0.0	0.0	0.0	3018.0	7308.0	36.0	0.5		4897.0	51.0	0.008198214611	17513.0	0.0	0.0
2001-10-01	103.0						0.0	0.0	0.0	4583.0	11081.0	26.0	0.5		7958.0	77.0	0.02308307622	28177.0	0.0	0.0
2001-11-01	137.0		0.0	3.0		3.0	0.0	0.0	0.0	3295.0	8020.0	42.0	0.5254237288		13062.0	95.0	0.04341085271	40133.0	0.0	0.0
2001-12-01	146.0						0.0	0.0	0.0	2222.0	4755.0	49.0	0.5348837209		17544.0	97.0	0.06246030066	49882.0	0.0	0.0
2002-01-01	145.0						0.0	0.0	0.0	2552.0	2572.0	31.0	0.4487179487		13147.0	114.0	0.0477917180399999	21234.0	0.0	0.0
2002-02-01	176.0		0.0	6.0		6.0	0.0	0.0	0.0	8821.0	8897.0	57.0	0.4242424242		48197.0	119.0	0.0211721626	62626.0	0.0	0.0
2002-03-01	201.0		0.0	9.0		9.0	0.0	0.0	0.0	4463.0	4486.0	56.0	0.4698795181		20121.0	145.0	0.03845793078	30448.0	0.0	0.0
2002-04-01	177.0		0.0	3.0		3.0	0.0	0.0	0.0	3884.0	3921.0	34.0	0.2777777778		18883.0	143.0	0.04768895864	27491.0	0.0	0.0
2002-05-01	162.0		0.0	9.0		9.0	0.0	0.0	0.0	4864.0	4880.0	31.0	0.2173913043		17771.0	131.0	0.0392649179999999	27804.0	0.0	0.0
2002-06-01	191.0		0.0	3.0		3.0	0.0	0.0	0.0	4772.0	4817.0	50.0	0.2452830189		24811.0	141.0	0.03845412119	36117.0	0.0	0.0
2002-07-01	221.0		0.0	5.0		5.0	0.0	0.0	0.0	5532.0	5560.0	69.0	0.275862069		32953.0	152.0	0.0394020961	46177.0	0.0	0.0
2002-08-01	310.0		0.0	11.0	0.0	11.0	0.0	0.0	0.0	7671.0	7718.0	111.0	0.2702702703		56597.0	199.0	0.03930918088	85622.0	32.0	0.0
2002-09-01	405.0		0.0	16.0		16.0	0.0	0.0	0.0	13060.0	13097.0	153.0	0.2654320988		83918.0	252.0	0.04265708182	109911.0	5.0	0.0
2002-10-01	448.0		0.0	15.0	1.0	15.0	0.0	0.0	0.0	40836.0	40894.0	169.0	0.2816326531		109570.0	279.0	0.04834349602	148479.0	13.0	0.0
2002-11-01	478.0		0.0	7.0		7.0	0.0	0.0	0.0	10099.0	10154.0	162.0	0.2398843931		71427.0	316.0	0.07816437104	118484.0	33.0	0.0
2002-12-01	544.0		1.0	48.0	0.0	48.0	0.0	0.0	0.0	10418.0	11234.0	184.0	0.269047619		80936.0	360.0	0.0792050490799999	150510.0	13.0	0.0
2003-01-01	808.0		0.0	43.0		43.0	0.0	1.0	0.0	12607.0	12915.0	358.0	0.2304147465		107884.0	450.0	0.06705706044	151107.0	8.0	0.0
2003-02-01	885.0		1.0	38.0	0.5	38.0	0.0	0.0	0.0	17918.0	18550.0	327.0	0.2376599634		117455.0	558.0	0.07021228203	166725.0	17.0	0.0
2003-03-01	762.0		0.0	19.0	0.4	19.0	0.0	0.0	0.0	16521.0	16952.0	207.0	0.2001915709		119129.0	555.0	0.07519488245	165840.0	39.0	0.0
2003-04-01	803.0		1.0	64.0	0.0	64.0	0.0	0.0	0.0	14672.0	15354.0	241.0	0.2358024691		116877.0	562.0	0.08715249917	163404.0	29.0	0.0
2003-05-01	1135.0		2.0	201.0		201.0	0.0	0.0	0.0	17879.0	19567.0	430.0	0.2471910112		169741.0	705.0	0.08055760629	227962.0	17.0	0.0
2003-06-01	1265.0		3.0	135.0	0.0	135.0	0.0	0.0	0.0	16173.0	17132.0	414.0	0.2504038772		172695.0	851.0	0.08470081837	244452.0	68.0	0.0
2003-07-01	1507.0		3.0	317.0	0.0	317.0	0.0	0.0	0.0	20806.0	22736.0	584.0	0.2332746479		194368.0	923.0	0.07643993937	287319.0	203.0	0.0
2003-08-01	1799.0		4.0	291.0	0.0	291.0	0.0	0.0	0.0	22032.0	23400.0	699.0	0.2193375112		247253.0	1100.0	0.0835849113	333485.0	342.0	0.0
2003-09-01	1828.0		2.0	423.0	0.4444444444	423.0	0.0	0.0	0.0	24300.0	29409.0	644.0	0.2142429683		227643.0	1184.0	0.0879873828799999	324887.0	155.0	0.0
2003-10-01	2006.0		4.0	355.0	0.3333333333	355.0	0.0	0.0	0.0	26658.0	36074.0	693.0	0.2050168837		245928.0	1313.0	0.09404386357	353817.0	93.0	0.0
2003-11-01	2401.0		6.0	1128.0	0.25	1128.0	0.0	0.0	0.0	33654.0	44166.0	888.0	0.2		360636.0	1513.0	0.08608360343	508338.0	167.0	0.0
2003-12-01	2688.0		8.0	1603.0	0.5	1603.0	0.0	0.0	0.0	36073.0	37905.0	874.0	0.2172191984		401820.0	1814.0	0.08202506694	602523.0	211.0	0.0
2004-01-01	3038.0		12.0	1687.0	0.3333333333	1551.0	0.0	0.0	0.0	42724.0	45097.0	1061.0	0.2303370787		403928.0	1977.0	0.08511823795	610759.0	266.0	0.0
2004-02-01	4217.0		29.0	4856.0	0.1578947368	4583.0	0.0	0.0	0.0	53570.0	55988.0	1789.0	0.2598607889		569593.0	2428.0	0.08692535216	804607.0	581.0	0.0
2004-03-01	6653.0		39.0	7773.0	0.3548387097	7772.0	0.0	0.0	0.0	75079.0	78321.0	3228.0	0.2444234998		851033.0	3425.0	0.09381790774	1227532.0	504.0	0.0
2004-04-01	6171.0		40.0	6913.0	0.3541666667	6903.0	0.0	1.0	0.0	60891.0	69408.0	2120.0	0.2609241062		782539.0	4051.0	0.08402462943	1114767.0	624.0	0.0
2004-05-01	6668.0		39.0	5605.0	0.21875	5581.0	0.0	0.0	0.0	63232.0	69741.0	2194.0	0.2204597701		798147.0	4474.0	0.07962989457	1263867.0	789.0	0.0
2004-06-01	7124.0		45.0	4420.0	0.1363636364	4420.0	0.0	1.0	0.0	61358.0	66234.0	2215.0	0.2196557971		1034837.0	4909.0	0.0763067110299999	1830911.0	878.0	0.0
2004-07-01	8285.0		50.0	7362.0	0.1590909091	6820.0	0.0	0.0	0.0	79699.0	95070.0	2752.0	0.226590106		1108129.0	5533.0	0.08171898141	1667625.0	1113.0	0.0
2004-08-01	8527.0		48.0	9031.0	0.1509433962	8642.0	0.0	1.0	0.0	74072.0	82949.0	2605.0	0.201910321		1222028.0	5922.0	0.08445038276	1858664.0	2027.0	0.0
2004-09-01	9765.0		67.0	6259.0	0.1666666667	4703.0	0.0	1109.0	0.0	88062.0	101535.0	3056.0	0.2390022118		1347339.0	6709.0	0.0945354894099999	2089053.0	2867.0	0.0
2004-10-01	10932.0		73.0	8395.0	0.2156862745	6851.0	0.0	6859.0	0.0	83754.0	107034.0	3453.0	0.2273007269		1392851.0	7479.0	0.09949549361	2139585.0	7762.0	0.0
2004-11-01	12498.0		81.0	12529.0	0.15	12241.0	0.0	5785.0	0.0	94551.0	124095.0	4084.0	0.2290354331		1649409.0	8414.0	0.1140360834	2625374.0	7182.0	0.0
2004-12-01	13169.0		96.0	14299.0	0.157480315	12774.0	0.0	8523.0	0.0	88144.0	116420.0	3868.0	0.2156811443		1643611.0	9301.0	0.1128576216	3123644.0	9544.0	0.0
2005-01-01	13654.0		94.0	15676.0	0.1209677419	15565.0	0.0	9768.0	0.0	88202.0	119814.0	4091.0	0.2079157589		1613672.0	9563.0	0.1128003616	2554469.0	11360.0	0.0
2005-02-01	13712.0		113.0	12674.0	0.2100840336	10378.0	0.0	10187.0	0.0	83765.0	116336.0	3820.0	0.1979279867		1604260.0	9892.0	0.1136990508	2477409.0	11457.0	0.0
2005-03-01	16032.0		146.0	21479.0	0.1353383459	21092.0	0.0	14842.0	0.0	101032.0	140669.0	4808.0	0.1975738891		1983055.0	11224.0	0.1146033967	3092638.0	16872.0	0.0
2005-04-01	19135.0		139.0	27333.0	0.2075471698	26167.0	0.0	18108.0	0.0	113300.0	182898.0	5890.0	0.2009994448		2360760.0	13245.0	0.1319071994	4100410.0	19712.0	0.0
2005-05-01	20749.0		165.0	30180.0	0.1854304636	27285.0	0.0	31791.0	0.0	133908.0	197308.0	6166.0	0.2114798413		2561171.0	14583.0	0.12884383	4732180.0	33605.0	0.0
2005-06-01	22610.0		180.0	36503.0	0.1451612903	31083.0	0.0	21331.0	0.0	133598.0	193493.0	6794.0	0.1930542778		2787308.0	15816.0	0.1278406067	5225389.0	23874.0	0.0
2005-07-01	26469.0		213.0	49577.0	0.1743119266	36937.0	0.0	22934.0	0.0	149616.0	211952.0	8574.0	0.1987227337		3266706.0	17895.0	0.1296324749	5468664.0	26502.0	0.0
2005-08-01	29796.0		221.0	48224.0	0.1784037559	38921.0	0.0	33556.0	0.0	174909.0	259707.0	9762.0	0.1987227337		3544202.0	20034.0	0.1339992795	6031331.0	32618.0	0.0
2005-09-01	27232.0		237.0	47971.0	0.2310469314	36740.0	0.0	31323.0	0.0	218718.0	286228.0	7250.0	0.195332931		3143509.0	19982.0	0.146343055	5572146.0	34954.0	0.0
2005-10-01	30862.0		246.0	54891.0	0.1559633028	43603.0	0.0	34415.0	0.0	175738.0	254675.0	9087.0	0.1689996486		3621895.0	21775.0	0.1646865898	6251872.0	38934.0	0.0
2005-11-01	31268.0		238.0	55753.0	0.1415929204	43173.0	0.0	24475.0	0.0	160053.0	226175.0	9087.0	0.1695937793		3599012.0	22181.0	0.1841593984	6543618.0	28942.0	0.0
2005-12-01	43424.0		324.0	84815.0	0.1369047619	68349.0	0.0	31590.0	0.0	189857.0	329486.0	16196.0	0.163712115		4970521.0	27228.0	0.1784108133	8473673.0	37423.0	0.0
2006-01-01	51237.0		399.0	105188.0	0.1801801802	78927.0	0.0	38791.0	0.0	270476.0	404200.0	18328.0	0.1716244076		5795259.0	32909.0	0.1751750607	9769608.0	46747.0	0.0
2006-02-01	52557.0		399.0	81229.0	0.1181818182	62575.0	0.0	39769.0	0.0	191659.0	321850.0	17655.0	0.1757434913		5471437.0	34902.0	0.1774057204	9338205.0	49006.0	0.0
2006-03-01	60900.0		458.0	115727.0	0.1328671329	78704.0	0.0	45577.0	0.0	220856.0	336793.0	21032.0	0.1551544376		6224352.0	39868.0	0.1809849485	10918394.0	55849.0	0.0
2006-04-01	63010.0		505.0	105543.0	0.1011396011	77016.0	0.0	49793.0	0.0	210088.0	335671.0	20709.0	0.1424373863		6153422.0	42301.0	0.1811216106	10852241.0	60772.0	0.0
2006-05-01	70623.0		582.0	110297.0	0.08219178082	87918.0	0.0	52689.0	0.0	222199.0	405757.0	23424.0	0.1318869097		6986313.0	47199.0	0.193455201	11924820.0	63469.0	0.0
2006-06-01	71595.0		619.0	126806.0	0.1000834028	95210.0	0.0	54939.0	0.0	228820.0	400864.0	22259.0	0.1235993884		7051309.0	49336.0	0.1803804168	12246393.0	66079.0	0.0
2006-07-01	75606.0		658.0	154103.0	0.0803030303	102856.0	0.0	62637.0	0.0	233722.0	435260.0	23854.0	0.1131743877		7262161.0	51752.0	0.1711506347	12864473.0	74019.0	0.0
2006-08-01	83449.0		729.0	187448.0	0.09235427706	118470.0	0.0	82646.0	0.0	280102.0	456497.0	26697.0	0.1208896435		8102867.0	56752.0	0.1668555764	14182340.0	97493.0	0.0
2006-09-01	82228.0		749.0	147244.0	0.08745762712	102766.0	0.0	67812.0	0.0	244343.0	562360.0	24582.0	0.1230558011		7520639.0	57646.0	0.189788398	13423304.0	83255.0	0.0
2006-10-01	86107.0		811.0	213441.0	0.09699376064	113045.0	0.0	62834.0	0.0	229498.0	505171.0	26136.0	0.1145455884		7841946.0	59971.0	0.2119388081	14681338.0	76532.0	0.0
2006-11-01	91801.0		840.0	210535.0	0.08826879271	125380.0	0.0	59457.0	0.0	242340.0	426598.0	28570.0	0.1123110873		8176435.0	63231.0	0.219170379	15124805.0	72481.0	0.0
2006-12-01	92981.0		915.0	215572.0	0.0944606414	129794.0	0.0	54082.0	0.0	270171.0	432627.0	27127.0	0.1033250019		8274318.0	65854.0	0.2038212971	15006433.0	68113.0	0.0
2007-01-01	102999.0		889.0	260005.0	0.07865168539	130563.0	0.0	68629.0	0.0	280007.0	504075.0	31547.0	0.09579491168		9010426.0	71452.0	0.2092156181	16870873.0	86630.0	0.0
2007-02-01	101230.0		971.0	232701.0	0.06979113602	135041.0	0.0	65811.0	0.0	262757.0	486325.0	30333.0	0.1037176804		8670053.0	70897.0	0.2221194731	15809671.0	81559.0	0.0
2007-03-01	107727.0		1099.0	314365.0	0.09221748401	173708.0	0.0	98651.0	0.0	276969.0	493175.0	32389.0	0.1019919451		9644347.0	75338.0	0.2263084947	18229356.0	115454.0	0.0
2007-04-01	105947.0		1090.0	376014.0	0.08545367259	168111.0	0.0	115906.0	0.0	256909.0	473710.0	30668.0	0.09556927405		9338452.0	75279.0	0.2240151366	17790576.0	133908.0	0.0
2007-05-01	106300.0		1184.0	342326.0	0.07837127846	177373.0	0.0	95470.0	0.0	245149.0	455565.0	30470.0	0.09098000798		9735663.0	75830.0	0.2250767546	18561686.0	114053.0	0.0
2007-06-01	97305.0		1080.0	285363.0	0.09161624892	166143.0	0.0	93895.0	0.0	277185.0	547297.0	25920.0	0.08382181658		9002115.0	71385.0	0.2004581745	16304557.0	110772.0	0.0
2007-07-01	97725.0		1093.0	257283.0	0.08634976014	160035.0	0.0	112988.0	0.0	265800.0	547375.0	26478.0	0.07972698693		9144897.0	71247.0	0.1854901631	16167608.0	132393.0	0.0
2007-08-01	96899.0		1123.0	291205.0	0.0896882493999999	162228.0	0.0	120602.0	0.0	301676.0	579722.0	25688.0	0.08129734018		8999431.0	71211.0	0.1920017643	16261152.0	139460.0	0.0
2007-09-01	95965.0		1183.0	304932.0	0.07655502392	165804.0	0.0	128393.0	0.0	318199.0	604820.0	25967.0	0.08502505216		8829529.0	69998.0	0.2204949455	17138544.0	146662.0	0.0
2007-10-01	99521.0		1280.0	342420.0	0.08699592207	175425.0	0.0	111652.0	0.0	267391.0	523357.0	27676.0	0.0853900437299999		9226372.0	71845.0	0.2312743334	18111693.0	131545.0	0.0
2007-11-01	94379.0		1184.0	319130.0	0.0715123095	164445.0	0.0	118261.0	0.0	213642.0	527330.0	25025.0	0.0801746322899999		8742107.0	69354.0	0.2256579	17398830.0	136830.0	0.0
2007-12-01	90897.0		1194.0	378955.0	0.07869107908	187637.0	0.0	95885.0	0.0	232320.0	498736.0	22865.0	0.07424853325		8664029.0	68032.0	0.2092369845	16740268.0	113499.0	0.0
2008-01-01	100063.0		1412.0	374186.0	0.0783783783799999	196231.0	0.0	113170.0	0.0	253367.0	523518.0	27755.0	0.0707933271		9861171.0	72308.0	0.2129330989	18010365.0	132427.0	0.0
2008-02-01	98934.0		1323.0	370787.0	0.0845959596	181432.0	0.0	99121.0	0.0	241503.0	544202.0	26995.0	0.07873828441		9431610.0	71939.0	0.2227753731	17876488.0	116910.0	0.0
2008-03-01	103304.0		1340.0	358120.0	0.07901064926	186224.0	0.0	111723.0	0.0	246039.0	636002.0	28217.0	0.08204980379		9897350.0	75087.0	0.2236204988	18892515.0	131572.0	0.0
2008-04-01	100468.0		1338.0	338160.0	0.06678832117	178047.0	0.0	100691.0	0.0	227002.0	455641.0	27128.0	0.07665740722		9421593.0	73340.0	0.2289914908	17792992.0	117785.0	0.0
2008-05-01	100615.0		1413.0	385744.0	0.0755730659	183646.0	0.0	114305.0	0.0	228449.0	497219.0	26349.0	0.07788494749		9607444.0	74266.0	0.2304394208	18807460.0	131879.0	0.0
2008-06-01	93587.0		1376.0	434457.0	0.07012417823	201463.0	0.0	96867.0	0.0	231094.0	520682.0	23234.0	0.07302806579		9170317.0	70353.0	0.2057690953	17762044.0	114214.0	0.0
2008-07-01	94622.0		1454.0	436630.0	0.06413766132	215449.0	0.0	113954.0	0.0	230882.0	659169.0	23738.0	0.07126428771		9450134.0	70884.0	0.1881172848	17394579.0	130964.0	0.0
2008-08-01	93571.0		1488.0	452409.0	0.06923751096	221300.0	0.0	114885.0	0.0	258367.0	563015.0	23009.0	0.06908102694		9510838.0	70562.0	0.1896289875	17790276.0	131043.0	0.0
2008-09-01	91611.0		1480.0	352526.0	0.0784226849799999	200063.0	0.0	131451.0	0.0	199698.0	530560.0	23077.0	0.0735951509		9311258.0	68534.0	0.2193080187	17676796.0	147782.0	0.0
2008-10-01	95135.0		1619.0	459799.0	0.0792988313899999	215420.0	0.0	110326.0	0.0	220592.0	694838.0	25350.0	0.07016685506		9534207.0	69785.0	0.2244763437	18467644.0	130572.0	0.0
2008-11-01	92167.0		1515.0	433670.0	0.06881533101	196626.0	0.0	116076.0	0.0	209380.0	588860.0	23241.0	0.06960988869		9006944.0	68926.0	0.2177370924	17308381.0	131074.0	0.0
2008-12-01	90369.0		1527.0	361127.0	0.08030363564	201614.0	0.0	191979.0	0.0	209401.0	565175.0	22123.0	0.07240574637		9129527.0	68246.0	0.1959890822	17404424.0	215137.0	0.0
2009-01-01	97636.0		1603.0	461698.0	0.07245762712	220704.0	0.0	122454.0	0.0	232240.0	493658.0	25120.0	0.06224780719		9822584.0	72516.0	0.2045831068	19785660.0	138515.0	0.0
2009-02-01	92992.0		1577.0	415915.0	0.0678793256399999	213611.0	0.0	124252.0	0.0	220596.0	537769.0	23294.0	0.0684275047399999		9131378.0	69698.0	0.2146009166	17716440.0	138725.0	0.0
2009-03-01	98013.0		1699.0	483701.0	0.0678879310299999	233587.0	0.0	210226.0	0.0	230416.0	670695.0	25048.0	0.07226022575		10167816.0	72965.0	0.2153836897	19904069.0	227220.0	0.0
2009-04-01	92487.0		1716.0	487026.0	0.06181533646	239227.0	0.0	178278.0	0.0	223853.0	724723.0	22428.0	0.0668316054		9394893.0	70059.0	0.1978155736	18141412.0	195132.0	0.0
2009-05-01	95221.0		1851.0	587301.0	0.06473058083	263405.0	0.0	136574.0	0.0	219699.0	641899.0	23356.0	0.06649420332		9839856.0	71865.0	0.1949693474	19741143.0	153478.0	0.0
2009-06-01	93980.0		1664.0	576211.0	0.0563951345399999	246681.0	0.0	151085.0	0.0	200466.0	665038.0	23004.0	0.06704927894		9372719.0	70976.0	0.1875150758	18457575.0	168132.0	0.0
2009-07-01	93609.0		1829.0	671081.0	0.05870513251	259707.0	0.0	156896.0	0.0	222629.0	529932.0	23189.0	0.06216935407		9244137.0	70420.0	0.1775447987	19473262.0	174547.0	0.0
2009-08-01	92927.0		1939.0	629984.0	0.05424200278	254546.0	0.0	158596.0	0.0	236027.0	576590.0	21932.0	0.06410555815		9520318.0	70995.0	0.1753973968	20237075.0	178348.0	0.0
2009-09-01	90237.0		1917.0	534984.0	0.05800532702	270583.0	0.0	124999.0	0.0	212981.0	505672.0	21310.0	0.06846006917		9212000.0	68927.0	0.197251066	18807269.0	142482.0	0.0
2009-10-01	92963.0		1971.0	553570.0	0.0684225594	260200.0	0.0	262844.0	0.0	229307.0	766473.0	23063.0	0.06718826238		9576122.0	69900.0	0.2051102456	19525635.0	281654.0	0.0
2009-11-01	92401.0		1777.0	475521.0	0.05901937046	232769.0	0.0	169184.0	0.0	208757.0	655375.0	22470.0	0.06946879308		9357697.0	69931.0	0.2019957364	18415440.0	186414.0	0.0
2009-12-01	90003.0		1958.0	579591.0	0.05340078696	245895.0	0.0	133393.0	0.0	224894.0	636511.0	20861.0	0.06462627557		9231414.0	69142.0	0.1911280393	18731437.0	152965.0	0.0
2010-01-01	96350.0		1958.0	602312.0	0.0721941992399999	247352.0	0.0	349296.0	0.0	228134.0	731299.0	23803.0	0.05764672192		10072736.0	72547.0	0.1951766467	20186791.0	367435.0	0.0
