category,country,"January ""raw"" 2022",Corrected January 2022,jan23x,% Change,Proportion_of_Total_Jan23
readers,United States,3178607665,3677649068,3652725628,-0.0068,0.3431
readers,Japan,1116830082,1116830082,1049895188,-0.0599,0.0986
readers,Germany,1065391306,1065391306,998830254,-0.0625,0.0938
readers,United Kingdom,956692938,956692938,994622197,0.0396,0.0934
readers,India,884310379,884310379,867651210,-0.0188,0.0815
readers,Russia,778031443,778031443,736579817,-0.0533,0.0692
readers,France,664763982,664763982,633335883,-0.0473,0.0595
readers,Italy,649041864,649041864,603772584,-0.0697,0.0567
readers,Canada,427375772,506440290,461190827,-0.0893,0.0433
readers,Poland,337800957,337800957,326614836,-0.0331,0.0307
readers,Spain,327781427,327781427,320023963,-0.0237,0.0301
editors,DE,,30096,28790,-0.0434,0.1267
editors,IN,,20812,19403,-0.0677,0.0854
editors,US,,62832,64449,0.0257,0.2837
editors,CA,,10376,10043,-0.0321,0.0442
editors,ES,,11276,11066,-0.0186,0.0487
editors,PL,,7619,7730,0.0146,0.0340
editors,FR,,21619,21466,-0.0071,0.0945
editors,RU,,13673,12604,-0.0782,0.0555
editors,IT,,13331,13718,0.029,0.0604
editors,JP,,18479,18644,0.0089,0.0821
editors,GB,,19044,19249,0.0108,0.0847