timestamp,sum_view_count,pageview multiplier,pageviews_corrected
2020-06-01 0:00:00,15425285725,1,15425285725
2020-07-01 0:00:00,15283869065,1,15283869065
2020-08-01 0:00:00,15325959128,1,15325959128
2020-09-01 0:00:00,15254148504,1,15254148504
2020-10-01 0:00:00,16655836746,1,16655836746
2020-11-01 0:00:00,17085740630,1,17085740630
2020-12-01 0:00:00,16359501863,1,16359501863
2021-01-01 0:00:00,17567305991,1,17567305991
2021-02-01 0:00:00,16192957048,1,16192957048
2021-03-01 0:00:00,17813366410,1,17813366410
2021-04-01 0:00:00,16724248866,1,16724248866
2021-05-01 0:00:00,16902212055,1,16902212055
2021-06-01 0:00:00,15111677746,1.026,15504581367
2021-07-01 0:00:00,15533873914,1.026,15937754636
2021-08-01 0:00:00,15755582618,1.026,16165227766
2021-09-01 0:00:00,15119727254,1.026,15512840163
2021-10-01 0:00:00,15604153494,1.026,16009861485
2021-11-01 0:00:00,15026448410,1.042,15657559243
2021-12-01 0:00:00,14890738199,1.042,15516149203
2022-01-01 0:00:00,16357832160,1.042,17044861111
2022-02-01 0:00:00,15080646387,1,15080646387
2022-03-01 0:00:00,16004400861,1,16004400861
2022-04-01 0:00:00,14913494842,1,14913494842
2022-05-01 0:00:00,14907391168,1,14907391168
2022-06-01 0:00:00,13968279097,1,13968279097
2022-07-01 0:00:00,14235626056,1,14235626056
2022-08-01 0:00:00,14870144588,1,14870144588
2022-09-01 0:00:00,15467538896,1,15467538896
2022-10-01 0:00:00,16043576424,1,16043576424
2022-11-01 0:00:00,16195990810,1,16195990810
2022-12-01 0:00:00,15385211287,1,15385211287
2023-01-01 0:00:00,16629672243,1,16629672243
2023-02-01 0:00:00,14846579273,1,14846579273
2023-03-01 0:00:00,16460954218,1,16460954218
2023-04-01 0:00:00,15119072153,1,15119072153
2023-05-01 0:00:00,16354594846,1,16354594846